Name,FullName,Generations,Latitude,Longitude,Logo,DetectorType,NeutrinoType,NeutrinoSources,EnergyMeVMin,EnergyMeVMax,Goal,Proposal,ProposedDate,StartDataTaking,DateofRetirement,DetectorDetails,Discovery,,,,,,,,,,,,,,,,,
BEST,,,43.651,43.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEeST,,,49.249,-123.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baksan Neutrino Observatory,,,43.651,43.724,,Scintillator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baikal Deep Underwater Neutrino Telescope,,,51.770,104.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AugerPrime,,,-35.206,-69.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArgoNeuT,,,41.841,-88.262,,Cherenkov Detector,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTARES,,,42.800,6.170,,,,,,,,,,2008,2016,,,,,,,,,,,,,,,,,,,
AMoRE,,,38.103,127.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANDA,,,-90.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRACADABRA,,,42.360,-71.087,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,
